@relation '/c:/Users/jmonteil/Documents/HCP Anywhere/Documents/Demos/demo Pol/MyMLSample/Data/MLAllData.arff'
@attribute Class {broken,healthy}
@attribute x numeric
@attribute y numeric
@attribute z numeric
@data
broken,50.6643821245,47.8221427659,157.4493875786
broken,49.9822446785,35.6639936591,159.9536982977
broken,46.5458644338,23.4801816368,156.7537316356
broken,41.0101005625,13.8587927764,149.5962568903
broken,34.4937866939,7.7884290057,140.5756223129
broken,28.0845008487,4.9006809695,131.1803746109
broken,22.5203840777,4.2884894597,122.1582007446
broken,18.1447293694,5.1021644762,113.777674238
broken,15.014513795,6.7696776112,106.0954219046
broken,13.0357531109,8.9998615667,99.1121901897
broken,12.0671391403,11.7166084377,92.8429008764
broken,11.9830117717,14.9931790314,87.3479384709
broken,12.705451914,19.0052561029,82.7577220053
broken,14.2174049194,23.9990363399,79.3081109008
broken,16.5649964603,30.2596918137,77.3964521225
broken,19.8517233451,38.0541553412,77.6610415424
broken,24.2203070242,47.5035223314,81.0667496053
broken,29.8082786979,58.3154894165,88.9200405222
broken,36.6500092704,69.3072125183,102.601557347
broken,44.4877380499,77.7921089271,122.6270007794
broken,52.4807870604,79.4256058795,146.8173978624
broken,58.947543577,69.9162859885,168.8261786757
broken,61.5800417557,49.2443334,180.4802355239
broken,58.6194717504,24.2394692628,178.3716170077
broken,50.3682711533,3.7485033977,166.5636480222
broken,39.179526892,-8.3687285074,151.5038330477
broken,27.7679455961,-13.5230039383,137.1874985455
broken,17.8581177079,-14.7273913505,124.8401374147
broken,10.0375955338,-14.3558328391,114.365956139
broken,4.1831727243,-13.7847176932,105.3653205734
broken,-0.1291209759,-13.6978208468,97.5121927119
broken,-3.3856089449,-14.4139966246,90.62168357
broken,-6.032421988,-16.1025388749,84.6323630066
broken,-8.4492500409,-18.905110633,79.5910186231
broken,-10.958656583,-22.9978489674,75.6644267978
broken,-13.8480627552,-28.611836592,73.1845643329
broken,-17.3913684761,-36.0094654181,72.7301479164
broken,-21.8597117422,-45.3868539714,75.2367785629
broken,-27.5062258772,-56.6342958345,82.0814649658
broken,-34.4969626669,-68.8536213782,94.954642031
broken,-42.7425607576,-79.6023381731,115.0839576326
broken,-51.5889073373,-84.2961155706,141.2809780899
broken,-59.4386373133,-77.3065207272,167.4919523722
broken,-63.7269293327,-56.5544616972,183.8182240673
broken,-62.0055371001,-28.4137142974,184.1875909318
broken,-53.9434996275,-3.9387622591,172.1346824392
broken,-41.9423626591,10.9016506926,155.6240315882
broken,-29.2597994547,17.2806264823,139.9590825737
broken,-18.0900972298,18.8731092028,126.7774733642
broken,-9.218927686,18.6319612519,115.9372883922
broken,-2.5347143409,18.2383013371,106.910806454
broken,2.4508094218,18.5058796803,99.2909679797
broken,6.3040262839,19.8056925824,92.8760872234
broken,9.5444261955,22.3291477873,87.6462906019
broken,12.6127593776,26.2222876181,83.7479174694
broken,15.8790461553,31.6339562049,81.5132760369
broken,19.6602245672,38.6924000153,81.5125616129
broken,24.2279466747,47.3932222415,84.6122140355
broken,29.7876128107,57.3534250158,91.9618749961
broken,36.4034077399,67.3898820852,104.7211591705
broken,43.8401615828,75.015148176,123.2113890233
broken,51.3221583652,76.3811217977,145.3719575417
broken,57.336309589,67.8017213372,165.6175219272
broken,59.8480084086,49.2486374176,176.8308765536
broken,57.3041593707,26.4689496603,175.7617517153
broken,49.9037090402,7.1892895763,165.5083853089
broken,39.6522483689,-4.7665592218,151.6383875515
broken,28.9917345471,-10.2109696042,137.9477848525
broken,19.5830855508,-11.6877484218,125.8166261656
broken,12.0780853974,-11.3832786294,115.3224123874
broken,6.4473580309,-10.6383168299,106.1629599629
broken,2.3467960643,-10.1432336584,98.0456928124
broken,-0.6508110691,-10.2180445466,90.778147881
broken,-2.9469471037,-11.0138268246,84.2597034931
broken,-4.8829982367,-12.6343865357,78.4618617963
broken,-6.7433314285,-15.2057281175,73.42367423
broken,-8.7743066338,-18.9150376306,69.2691039421
broken,-11.208082073,-24.0298029554,66.2516348775
broken,-14.2852950848,-30.894313466,64.8355212145
broken,-18.2714594963,-39.8800166842,65.8237978402
broken,-23.4575132214,-51.2289692244,70.5225880514
broken,-30.1226626621,-64.6701189972,80.8411909078
broken,-38.4140521825,-78.6452456719,98.9737092226
broken,-48.06953862,-89.1783269507,125.8777605187
broken,-57.9356478194,-89.4485268885,157.9369545475
broken,-65.498738796,-73.0462765434,184.4198405066
broken,-67.3101478553,-42.0808838793,193.3095898751
broken,-61.2551245011,-9.7398603369,183.6487380249
broken,-48.8914611017,12.1040434298,165.2020239709
broken,-34.2525400141,22.2013215997,146.7833262627
broken,-20.7036132268,25.1347728034,131.6604596511
broken,-9.7024005795,25.2178165877,119.872425131
broken,-1.3215484594,24.9301461826,110.6583795509
broken,4.9788582547,25.4214367741,103.4084450538
broken,9.8850770993,27.162780613,97.8353306012
broken,14.0317259426,30.3315773614,93.9351276305
broken,17.9436902831,34.9789208971,91.9425121515
broken,22.0321456305,41.0544801167,92.3136175219
broken,26.5975059072,48.3193944259,95.702270443
broken,31.8107591517,56.1521616392,102.8464440346
broken,37.6526957487,63.2797378642,114.2284646149
broken,43.8031858564,67.5993969533,129.3879575118
broken,49.5142765196,66.5088120813,146.0720757167
broken,53.5929650545,58.2284526059,160.1304441353
broken,54.7054820668,43.7009335015,167.2994827117
broken,52.0643904111,26.9824971467,166.0464061282
broken,46.0447360277,12.7519433537,158.3455533951
broken,38.0544657859,3.4116572194,147.5610490851
broken,29.74019173,-1.2696308402,136.2410849031
broken,22.2978343131,-2.7295405593,125.5815144852
broken,16.2912643438,-2.3925027401,115.892946247
broken,11.8071602436,-1.2297633283,107.1234461591
broken,8.6782985864,0.2294585198,99.140825989
broken,6.6505769704,1.7630641161,91.8321141307
broken,5.4775738854,3.3338577402,85.1214078923
broken,4.9630820105,5.0096666313,78.9645831937
broken,4.9742623195,6.9209095074,73.343972337
broken,5.4414576446,9.2448099077,68.2700643348
broken,6.3542621878,12.2071688019,63.7931066069
broken,7.7589597752,16.0949410765,60.0289279835
broken,9.7595952875,21.2731427809,57.2077061396
broken,12.5228466859,28.1951259791,55.760863334
broken,16.2841937163,37.3804137343,56.4670647259
broken,21.3472865206,49.297642944,60.6698244961
broken,28.0553720622,64.0150467987,70.5075385779
broken,36.685693999,80.3761332001,88.8322095166
broken,47.1713994072,94.5139200449,117.8662355152
broken,58.5336043603,98.5031347728,155.191504749
broken,68.1262916593,82.8954586291,188.7827539288
broken,71.670891732,47.381461552,201.8539477768
broken,65.8414284888,8.1012144903,191.0493506191
broken,51.9837771292,-18.1839423514,169.2221723873
broken,35.1435244538,-29.6280101993,148.2570552414
broken,19.5983561371,-32.567025981,132.0811137287
broken,7.0786644288,-32.5376004498,120.3764751978
broken,-2.4292391421,-32.425454565,112.0185185171
broken,-9.6283308436,-33.3970508571,106.2269319733
broken,-15.3328236468,-35.8006153487,102.6867172253
broken,-20.2450936553,-39.6139686699,101.4353503854
broken,-24.8936236588,-44.5873800416,102.7410425595
broken,-29.6201251907,-50.2160688539,106.96896135
broken,-34.5631516698,-55.6295321321,114.3638012204
broken,-39.6190829808,-59.506525403,124.6853891387
broken,-44.3920691621,-60.2076126766,136.7574707978
broken,-48.1877996056,-56.3499257923,148.2692777665
broken,-50.1467098904,-47.7676256512,156.3616191521
broken,-49.575729673,-36.1371009326,159.0188034314
broken,-46.3504587753,-24.3461179675,156.1730293394
broken,-41.0694169814,-14.8949499072,149.4059250846
broken,-34.7875448836,-8.8185136707,140.7044781993
broken,-28.5549773925,-5.8457568592,131.5339474668
broken,-23.1047644645,-5.1457826135,122.6638828181
broken,-18.7946088203,-5.9069382331,114.393128315
broken,-15.7015678793,-7.5688764823,106.802520557
broken,-13.7497219441,-9.8400010565,99.910310583
broken,-12.811388931,-12.6402245366,93.7458513879
broken,-12.7703094764,-16.0385913693,88.3847033537
broken,-13.5546971307,-20.2060694206,83.9764093796
broken,-15.1510264803,-25.3804415632,80.7824887502
broken,-17.6060861002,-31.8279225787,79.2336507527
broken,-21.019326855,-39.7735858729,80.0056501764
broken,-25.5203490193,-49.2540576536,84.0877408988
broken,-31.2164390916,-59.8263000852,92.7497019998
broken,-38.08280573,-70.0871316899,107.1773078797
broken,-45.7638439604,-77.1498461006,127.4201237061
broken,-53.296484474,-76.7798902749,150.6428736424
broken,-58.9325018662,-65.4904416072,170.2709969883
broken,-60.5064074041,-44.5051887531,179.1002218716
broken,-56.6661149279,-20.9839388798,175.2400316428
broken,-48.1023926763,-2.6371989518,163.1702872498
broken,-37.1907461824,7.84797245,148.6519301903
broken,-26.3814537107,12.1438121932,134.9896147155
broken,-17.1353898937,13.0048198825,123.1276488766
broken,-9.9017395474,12.514823309,112.9427695934
broken,-4.5217644619,11.8700227277,104.0803218883
broken,-0.5877355364,11.6625949872,96.2541550151
broken,2.3523437893,12.1667113575,89.2961404105
broken,4.7077920057,13.5270554328,83.1381557673
broken,6.8244152282,15.8680858129,77.796830055
broken,8.9948961685,19.3537195343,73.3806776591
broken,11.4810137763,24.215571316,70.1257415236
broken,14.5373075858,30.7525339196,68.4661585135
broken,18.4289619059,39.2836888232,69.1456795166
broken,23.4340963661,50.0030018548,73.3570034252
broken,29.8106336834,62.634516674,82.8170775628
broken,37.6883656011,75.7564045385,99.4744830051
broken,46.8246949461,85.8359423539,124.2009894698
broken,56.187394324,86.8569068367,153.9694217829
broken,63.548077327,72.9595969932,179.5645751816
broken,65.8068420469,45.2295053838,189.9683742345
broken,60.8682812478,14.6924018897,182.9384789618
broken,49.7860702018,-7.3065050884,166.3689751306
broken,36.0838521322,-18.3240564483,148.6571379741
broken,23.0259540729,-21.9826664788,133.5080300554
broken,12.2238851405,-22.345441361,121.3542456091
broken,3.9272467801,-21.9578816898,111.6032564423
broken,-2.2851840527,-22.0819752515,103.6739043162
broken,-7.0364139404,-23.2746672797,97.243081007
broken,-10.9335947418,-25.7787394437,92.2370986121
broken,-14.4964294703,-29.7199845492,88.7967311947
broken,-18.1500826892,-35.1745652368,87.2739454063
broken,-22.2359585006,-42.1378315936,88.253291413
broken,-27.0124080429,-50.3899634266,92.5529463476
broken,-32.623021335,-59.2379636197,101.1024971617
broken,-39.0106074833,-67.1583633148,114.512619111
broken,-45.7660688829,-71.5592116308,132.1622140203
broken,-51.9564231424,-69.256707915,151.0807486152
broken,-56.1084914878,-58.342446354,165.9881059556
broken,-56.6446406557,-40.6611258948,172.0202062974
broken,-52.8085971131,-21.7386741741,168.3599419837
broken,-45.3518156077,-6.9215916064,158.3003202856
broken,-36.1285618474,1.8914370899,145.9338838225
broken,-27.0037621025,5.7505642517,133.7951922117
broken,-19.1427237775,6.5920458477,122.7956334909
broken,-12.9663790674,5.9994551692,113.0045631776
broken,-8.4145788507,4.9420172435,104.2342091767
broken,-5.2089957881,3.9121138711,96.2883627475
broken,-3.0199294699,3.1146816972,89.02358271
broken,-1.5476227898,2.6071979103,82.344208863
broken,-0.5504658218,2.3852847063,76.1853371263
broken,0.154114305,2.4300854747,70.4998280417
broken,0.7003473857,2.7328055518,65.251152187
broken,1.1881373456,3.3073771032,60.4105031031
broken,1.6967548874,4.19838056,55.9568411866
broken,2.2971450488,5.4887422,51.8795978737
broken,3.0631283651,7.3101647658,48.1850570169
broken,4.0824171013,9.858386553,44.9092077931
broken,5.4686497697,13.4146749939,42.1428682191
broken,7.3756958235,18.3734063003,40.0803339743
broken,10.0151463379,25.2706456198,39.112382749
broken,13.6764661656,34.7938283738,39.998844436
broken,18.7446330955,47.711872731,44.1669964406
broken,25.6967706081,64.564077444,54.1419003405
broken,35.0249242487,84.7425595902,73.8441189574
broken,46.9571567307,104.4086686656,107.5522984904
broken,60.745519595,113.510249338,154.683639473
broken,73.4090547334,96.9316013389,200.0591855503
broken,79.0544659187,50.5833451024,217.1121476808
broken,72.2213969228,-1.3077519648,200.1455259309
broken,54.5744011898,-32.7956809586,170.8828894619
broken,33.6055814742,-44.0621509963,146.2777600736
broken,14.9653256813,-45.8979148461,129.8606693713
broken,0.3581479547,-45.5360626868,120.0339368766
broken,-10.6564625993,-45.8508946152,114.980269672
broken,-19.1031262831,-47.4738278793,113.6502644361
broken,-25.9120946662,-50.0686909072,115.5434552936
broken,-31.709677764,-52.8280855294,120.3175031839
broken,-36.7780956277,-54.6658416657,127.4178406983
broken,-41.0711546768,-54.4197945702,135.7846456617
broken,-44.2748282512,-51.2271254163,143.7906362225
broken,-45.9433795708,-45.0135068639,149.5988497712
broken,-45.7202101212,-36.7533672096,151.8717756935
broken,-43.5681678224,-28.1389440349,150.3397143301
broken,-39.8651541134,-20.7892232457,145.7444737022
broken,-35.2869307051,-15.6137253483,139.2699032211
broken,-30.5653614195,-12.7330662246,131.9846099496
broken,-26.2856105727,-11.7932984514,124.6097114771
broken,-22.8074556636,-12.3175429052,117.5529741963
broken,-20.2898766016,-13.9147534772,111.0343145043
broken,-18.7598470517,-16.3496247696,105.1974840349
broken,-18.181393704,-19.5354799331,100.1841965752
broken,-18.506374399,-23.4973534727,96.1825831303
broken,-19.7042093767,-28.3248709956,93.4659037658
broken,-21.7731681652,-34.1136055055,92.4292064398
broken,-24.7348731269,-40.8794091874,93.6170016903
broken,-28.6095617814,-48.4218340288,97.7095518485
broken,-33.3645071208,-56.1194663409,105.3930919853
broken,-38.8256973336,-62.692342356,116.9963323927
broken,-44.553692139,-66.112835769,131.825173691
broken,-49.7278866102,-64.0621906543,147.4676462116
broken,-53.1681195808,-55.2692279952,159.9652160133
broken,-53.6723856002,-41.1018789739,165.6694337284
broken,-50.6554640099,-25.5077627861,163.6363098217
broken,-44.6200157162,-12.5829590493,155.9097466659
broken,-36.9311221162,-4.2363892781,145.5201224596
broken,-29.084386235,-0.1260020959,134.6839375316
broken,-22.1343740416,1.058564108,124.4400916313
broken,-16.5680688857,0.5782491385,115.071921017
broken,-12.4529525599,-0.7143188887,106.5510472816
broken,-9.6356804788,-2.3620063776,98.7773120612
broken,-7.8899986945,-4.1876460841,91.6662636044
broken,-7.001434068,-6.1892509939,85.1685183174
broken,-6.8065101302,-8.4720002977,79.2705869965
broken,-7.2062277704,-11.2134662891,73.9981708381
broken,-8.1679650149,-14.6524389695,69.4304189533
broken,-9.724238764,-19.0915761809,65.7314893661
broken,-11.9723997441,-24.9028715777,63.2087152265
broken,-15.0757129841,-32.51784711,62.4109689954
broken,-19.2618251743,-42.3646199217,64.2791091972
broken,-24.8064959137,-54.6712391008,70.3292173319
broken,-31.9740342786,-68.9856098433,82.7239551354
broken,-40.8568124141,-83.2324039396,103.7521188682
broken,-51.0269543802,-92.4649089027,133.7509154996
broken,-60.9720634656,-88.9200281529,167.1372812748
broken,-67.6795749906,-67.0183114239,190.9438642764
broken,-67.5208717346,-32.4819682423,194.2324089014
broken,-59.1115348964,-0.9013176959,180.1559485496
broken,-45.1410827683,17.9409007683,160.225330899
broken,-30.0014067195,25.531815634,142.1339164443
broken,-16.6734333547,27.2128484199,127.8913977669
broken,-6.1407257288,26.9898104603,117.0162772123
broken,1.8106029566,26.9329892643,108.669181447
broken,7.8399756705,27.9299505273,102.3069769599
broken,12.6615696361,30.3090229262,97.7381344486
broken,16.8969584257,34.1572186156,95.0575785662
broken,21.0394208713,39.4286766192,94.5963982076
broken,25.4528422508,45.9149800625,96.8825344306
broken,30.3637553256,53.1064051093,102.5487176541
broken,35.8219912737,59.9752787812,112.079218041
broken,41.6187802755,64.7963047602,125.2845817911
broken,47.1813861518,65.3028718828,140.5786398051
broken,51.5305427273,59.5949758203,154.649792949
broken,53.4660066696,47.7193519533,163.5135139272
broken,52.0868095377,32.5393120502,164.8634564813
broken,47.3954101407,18.3017284407,159.4929951365
broken,40.4129265327,7.9735218232,150.1620516462
broken,32.6274694024,2.1250003528,139.5046188618
broken,25.3068768305,-0.2211674302,129.0434975315
broken,19.1801462079,-0.3795135725,119.3500167094
broken,14.4858278606,0.6259398876,110.5110868548
broken,11.1594547471,2.1822662471,102.454415581
broken,9.0049295071,4.0050976124,95.0930108577
broken,7.8049698524,6.027761297,88.3691046752
broken,7.3784397991,8.3188526093,82.2619194182
broken,7.6041388735,11.0346915209,76.7909707157
broken,8.4274715089,14.398915071,72.0280164744
broken,9.8606179638,18.6990705202,68.1249997031
broken,11.9818465774,24.2887824951,65.3665287818
broken,14.9355111976,31.5781755209,64.2589175189
broken,18.9297506352,40.9783724894,65.6666013254
broken,24.2214198802,52.7289728844,70.9808598298
broken,31.0632326012,66.476731612,82.2008130422
broken,39.5624723638,80.4403503055,101.5225054222
broken,49.3731630698,90.2550487628,129.5915762742
broken,59.1848156361,88.7794311858,161.9505593818
broken,66.287523368,70.0652077493,187.0138437157
broken,67.1941676195,37.7815972352,193.3597672054
broken,60.1351507273,6.0359888382,181.8260387093
broken,47.1513518739,-14.3160630018,162.8495206933
broken,32.3991723037,-23.234299503,144.6679132312
broken,19.0471390701,-25.5882335975,129.9669812255
broken,8.3346496299,-25.5146805235,118.56153258
broken,0.2108103931,-25.2946452631,109.6662791545
broken,-5.9104989644,-25.9591796055,102.7053172777
broken,-10.7221823183,-27.9212197674,97.4316648588
broken,-14.8499513061,-31.3293563161,93.8786825419
broken,-18.8050085085,-36.2119347865,92.3168001796
broken,-22.9826708152,-42.483001189,93.2347950854
broken,-27.6627501049,-49.8367465867,97.302235454
broken,-32.9845092605,-57.5384582056,105.2200243336
broken,-38.8774570073,-64.1631707367,117.3196031442
broken,-44.9460283024,-67.4901967257,132.8270697801
broken,-50.356628724,-65.005675466,149.0970485517
broken,-53.8723999421,-55.3932409649,161.8378035773
broken,-54.2374017876,-40.2678986514,167.2261238298
broken,-50.8847210349,-23.9776725153,164.5006839999
broken,-44.4270293902,-10.8129154485,156.0610519607
broken,-36.3596420442,-2.5640936876,145.1543296434
broken,-28.2487104386,1.3331205889,134.0148681968
broken,-21.149070992,2.3401266202,123.6124926726
broken,-15.5116635651,1.7769453068,114.1622528642
broken,-11.3623974358,0.5048898837,105.5922439075
broken,-8.5142484791,-1.0254308612,97.7778692143
broken,-6.7169322508,-2.641227454,90.6190492132
broken,-5.7387630996,-4.3362610024,84.051905069
broken,-5.4021625963,-6.2008889513,78.0440151734
broken,-5.5938569215,-8.3868548916,72.5920476374
broken,-6.2641764343,-11.0964415682,67.727921956
broken,-7.4239200664,-14.5873107527,63.5372640154
broken,-9.1431338311,-19.1857436445,60.1964908766
broken,-11.5533601863,-25.2991245978,58.0401387488
broken,-14.8523436451,-33.4092748063,57.6761232984
broken,-19.3060071238,-44.0033867244,60.165877006
broken,-25.2333782279,-57.3448322888,67.2495222634
broken,-32.9401272025,-72.8951013446,81.4376158869
broken,-42.5293209966,-88.1540731763,105.3500035696
broken,-53.4792615197,-97.1392812511,139.0433661766
broken,-63.9576662553,-90.711703575,175.0751324037
broken,-70.378635212,-63.4813413784,197.744697192
broken,-68.7232846919,-24.6288132004,196.5203433312
broken,-58.140611534,7.4387346156,178.3868837258
broken,-42.4015684581,24.4710879362,156.766429658
broken,-26.3521309235,30.339772997,138.6650615485
broken,-12.7460739825,31.1845561213,125.1315583441
broken,-2.2027227576,30.8845326186,115.2441614849
broken,5.7382185327,31.2230226694,108.0725803126
broken,11.8545715255,32.863086664,103.1197834739
broken,16.8966151587,35.9633135204,100.2814391216
broken,21.4726227655,40.437128623,99.740088003
broken,26.0241041713,45.9971427435,101.8691035735
broken,30.8176334286,52.0715046994,107.1006415246
broken,35.9185625336,57.6603319763,115.6724035425
broken,41.1365871999,61.2559712936,127.1944235817
broken,45.9652393824,61.0621516265,140.151131288
broken,49.588498321,55.7532035858,151.8042546244
broken,51.0680275845,45.5820873028,159.0918352797
broken,49.7514019169,32.8425314577,160.2846741056
broken,45.6932730067,20.7782517833,155.9121624231
broken,39.7136679131,11.7440709754,148.0019220395
broken,33.000964648,6.3694566307,138.6326975653
broken,26.6094027239,4.0550631252,129.1446786092
broken,21.1963612202,3.8285184499,120.1510812198
broken,17.0280789553,4.8671063719,111.8428202614
broken,14.1094455353,6.6519203012,104.2427289394
broken,12.3196394791,8.9401530546,97.3403875454
broken,11.5085627372,11.6914164176,91.14871647
broken,11.5524476205,15.0036652681,85.7295780972
broken,12.3807398559,19.0703487233,81.217276478
broken,13.9862459841,24.1523033654,77.8554536153
broken,16.4260997556,30.5485195074,76.0565906425
broken,19.8154804961,38.5384002716,76.4869538927
broken,24.3089812422,48.2479304418,80.1587922907
broken,30.0543290501,59.3646301874,88.446915503
broken,37.088801323,70.6255250869,102.7982076917
broken,45.1376150264,79.1609112797,123.7076860919
broken,53.3032061272,80.3579767335,148.7375479127
broken,59.7963510727,69.7948753566,171.0196419611
broken,62.1959969008,47.8313202091,182.0495085092
broken,58.7484744948,22.0460602705,178.8178578166
broken,49.939895081,1.5669838875,166.0921645205
broken,38.3303963945,-10.1262541084,150.5854695646
broken,26.7008002739,-14.869644971,136.1655031396
broken,16.7238934151,-15.8431598447,123.8788043724
broken,8.9078006327,-15.4227282538,113.5301262713
broken,3.0684737,-14.9441430119,104.686364498
broken,-1.2545543109,-15.0585756432,97.0209170234
broken,-4.5675194306,-16.0700875456,90.3638920492
broken,-7.3281357782,-18.147946919,84.6806463958
broken,-9.924890452,-21.4422820555,80.0603232018
broken,-12.6890644369,-26.1372209828,76.7357407861
broken,-15.9166220079,-32.4557539063,75.1388265427
broken,-19.8860136635,-40.6056920162,75.9883435975
broken,-24.8587364682,-50.6243989584,80.3822160161
broken,-31.0424954658,-62.044802514,89.7885478926
broken,-38.4830491574,-73.3123896125,105.6546106631
broken,-46.8420908666,-81.0995285578,128.1567049544
broken,-55.0638759125,-80.381702072,153.9966955327
broken,-61.1401541908,-67.0231126688,175.2807031429
broken,-62.5520642255,-42.8268831305,183.6243568615
broken,-57.8180207627,-16.755546306,177.6639184096
broken,-47.9630268931,2.4347528988,163.4641208849
broken,-35.867559743,12.5913666722,147.6458270879
broken,-24.2374174034,16.2999486297,133.4610560633
broken,-14.5084495554,16.803400692,121.5456335468
broken,-6.9936054961,16.3078591449,111.5578203752
broken,-1.4012539822,15.9930789143,103.0488868631
broken,2.7733859129,16.4187268085,95.7188537024
broken,6.0482677279,17.8493371169,89.4355065165
broken,8.8805243812,20.4463258171,84.2102481227
broken,11.6563167258,24.3661729483,80.1947082304
broken,14.7066822192,29.7957014404,77.7124039832
broken,18.3280468323,36.9307231479,77.3248220064
broken,22.792689148,45.875465999,79.9162371849
broken,28.3325555923,56.4071493353,86.7344276965
broken,35.0704580906,67.5335123331,99.205706807
broken,42.8615911088,76.8665980032,118.1553449138
broken,51.0227927635,80.2700795896,142.0979082483
broken,58.0421416017,73.0817366582,165.42249516
broken,61.6516444153,54.039815847,179.7240969416
broken,59.8248055589,28.8524249823,180.1134234191
broken,52.3914342205,6.7792296219,169.5063429729
broken,41.4445051169,-7.0366829648,154.5168146191
broken,29.8090199773,-13.3039115548,139.806946605
broken,19.4619164096,-15.0357667254,127.0270292439
broken,11.1824724572,-14.8284388422,116.2157955222
broken,4.9398537453,-14.2441133584,106.9754387628
broken,0.3357016404,-14.073696614,98.9501428308
broken,-3.1225539406,-14.6867850089,91.9287477267
broken,-5.897969397,-16.271267865,85.8324740824
broken,-8.3875610293,-18.9705592988,80.696583142
broken,-10.927480614,-22.9540521899,76.6778779499
broken,-13.8138577922,-28.4420717372,74.0957542707
broken,-17.324629139,-35.6855036935,73.5091762222
broken,-21.7312390321,-44.8732445965,75.8217007
broken,-27.2853203675,-55.9038715408,82.363187406
broken,-34.1537726491,-67.9259951426,94.7728347069
broken,-42.2591060476,-78.6157895957,114.2743269651
broken,-50.9847100991,-83.5852589638,139.8344054596
broken,-58.8088418266,-77.3488354618,165.7837999598
broken,-63.2584402991,-57.6088907458,182.559264837
broken,-61.9025484063,-30.1291593592,183.8487470279
broken,-54.276935035,-5.6377355705,172.5693659749
broken,-42.6035271635,9.5978638658,156.4129638175
broken,-30.0751933165,16.3572839909,140.7985413605
broken,-18.9313987627,18.1647800396,127.5345060506
broken,-10.0283158501,17.9821168365,116.5692868205
broken,-3.3058120054,17.5359575909,107.4016821049
broken,1.6962126978,17.6751829571,99.6222034659
broken,5.53116556,18.7894798203,93.0151673965
broken,8.7131609825,21.0777918091,87.539268443
broken,11.6806723809,24.6900378715,83.3101730135
broken,14.8029200986,29.7848370734,80.616900602
broken,18.3985801726,36.5208124016,79.9729541165
broken,22.7479159075,44.9687675107,82.1852061436
broken,28.0809202923,54.9011899666,88.3821182667
broken,34.5177850141,65.4021526419,99.8432196576
